text{ key = "copyright_notice.made_by_fans.line_1", value = "Ce jeu non commercial est réalisé par des fans" }
text{ key = "copyright_notice.made_by_fans.line_2", value = "et n'a aucun lien avec Nintendo." }
text{ key = "copyright_notice.proprietary.line_1", value = "The Legend of Zelda est" }
text{ key = "copyright_notice.proprietary.line_2", value = "une marque déposée par Nintendo." }
text{ key = "copyright_notice.proprietary.line_3", value = "© Team ZeldaHSA 2017-2026, © Nintendo 1985-2026" }
text{ key = "copyright_notice.solarus.line_1", value = "Solarus est un logiciel libre sous licence GPL v3." }
text{ key = "copyright_notice.solarus.line_2", value = "Le code source est sous licence GPL v3." }
text{ key = "copyright_notice.website", value = "Ce jeu est en développement" }
text{ key = "game.thief", value = "VOYOU" }
text{ key = "game_over.quit", value = "Ne pas sauvegarder et quitter" }
text{ key = "game_over.retry", value = "Continuer sans sauvegarder" }
text{ key = "game_over.save_continue", value = "Sauvegarder et continuer" }
text{ key = "game_over.save_quit", value = "Sauvegarder et quitter" }
text{ key = "hud.action", value = "Action" }
text{ key = "hud.change", value = "Changer" }
text{ key = "hud.grab", value = "Saisir" }
text{ key = "hud.infos", value = "Infos" }
text{ key = "hud.lift", value = "Soulever" }
text{ key = "hud.look", value = "Voir" }
text{ key = "hud.next", value = "Suite" }
text{ key = "hud.open", value = "Ouvrir" }
text{ key = "hud.pause", value = "Pause" }
text{ key = "hud.return", value = "Retour" }
text{ key = "hud.save", value = "Sauver" }
text{ key = "hud.skip", value = "Passer" }
text{ key = "hud.speak", value = "Parler" }
text{ key = "hud.stop", value = "Arrêter" }
text{ key = "hud.swim", value = "Nager" }
text{ key = "hud.throw", value = "Jeter" }
text{ key = "hud.validate", value = "Valider" }
text{ key = "maps.dungeons.dungeon_10_name", value = "Tour des Vents$" }
text{ key = "maps.dungeons.dungeon_11_name", value = "Temple des Glaces$" }
text{ key = "maps.dungeons.dungeon_12_name", value = "Temple oublié$" }
text{ key = "maps.dungeons.dungeon_13_name", value = "Caverne$" }
text{ key = "maps.dungeons.dungeon_14_name", value = "Puits de Cocorico$" }
text{ key = "maps.dungeons.dungeon_15_name", value = "Vah' Naboris$" }
text{ key = "maps.dungeons.dungeon_16_name", value = "Château d'Hyrule$" }
text{ key = "maps.dungeons.dungeon_17_name", value = "Tour de Ganon$" }
text{ key = "maps.dungeons.dungeon_18_name", value = "Donjon secret$" }
text{ key = "maps.dungeons.dungeon_1_name", value = "Ruines du Nord$" }
text{ key = "maps.dungeons.dungeon_20_name", value = "Phare de$la Pointe du Loup" }
text{ key = "maps.dungeons.dungeon_2_name", value = "Temple de la Forêt$" }
text{ key = "maps.dungeons.dungeon_3_name", value = "Temple du Feu$" }
text{ key = "maps.dungeons.dungeon_4_name", value = "Intérieur de$l'Arbre Mojo" }
text{ key = "maps.dungeons.dungeon_5_name", value = "Caverne Dodongo$" }
text{ key = "maps.dungeons.dungeon_6_name", value = "Temple de l'Eau$" }
text{ key = "maps.dungeons.dungeon_7_name", value = "Palais du Désert$" }
text{ key = "maps.dungeons.dungeon_8_name", value = "Ventre de$Jabu-Jabu" }
text{ key = "maps.dungeons.dungeon_9_name", value = "Pic César$" }
text{ key = "maps.dungeons.world_map", value = "Carte d'Hyrule$" }
text{ key = "maps.out.around_castle", value = "Autour du Château$" }
text{ key = "maps.out.castle_town", value = "Citadelle du Château$" }
text{ key = "maps.out.cliffs_coast", value = "Côte des falaises$" }
text{ key = "maps.out.cordinia_town", value = "Cordinia$" }
text{ key = "maps.out.death_mountains", value = "Montagnes de la Mort$" }
text{ key = "maps.out.east_castle", value = "A l'est du Château$" }
text{ key = "maps.out.east_mountains", value = "Montagnes de l'Est$" }
text{ key = "maps.out.east_swamp", value = "Plaine des Ruines$" }
text{ key = "maps.out.eventide_island", value = "Île Finalis$" }
text{ key = "maps.out.faron_woods", value = "Forêt de Firone$" }
text{ key = "maps.out.gerudo_desert", value = "Désert Gerudo$" }
text{ key = "maps.out.gerudo_village", value = "Village Gerudo$" }
text{ key = "maps.out.great_sea", value = "Océan du Sud$" }
text{ key = "maps.out.haunted_forest", value = "Forêt hantée$" }
text{ key = "maps.out.hylia_lake", value = "Lac Hylia$" }
text{ key = "maps.out.kakarico_village", value = "Village Cocorico$" }
