properties{
  x = 512,
  y = 0,
  width = 512,
  height = 352,
  min_layer = -1,
  max_layer = 2,
  world = "outside_world",
  tileset = "outside_main",
  music = "outside/southern_hyrule",
}

tile{
  layer = -1,
  x = -16,
  y = 0,
  width = 544,
  height = 16,
  pattern = "1577",
}

tile{
  layer = -1,
  x = -24,
  y = 16,
  width = 560,
  height = 16,
  pattern = "1577",
}

tile{
  layer = -1,
  x = -16,
  y = 32,
  width = 544,
  height = 16,
  pattern = "1577",
}

tile{
  layer = -1,
  x = 232,
  y = 0,
  width = 16,
  height = 8,
  pattern = "1582",
}

tile{
  layer = -1,
  x = 224,
  y = 8,
  width = 16,
  height = 8,
  pattern = "1582",
}

tile{
  layer = -1,
  x = 224,
  y = 16,
  width = 8,
  height = 8,
  pattern = "1582",
}

tile{
  layer = -1,
  x = 160,
  y = 16,
  width = 64,
  height = 8,
  pattern = "1582",
}

tile{
  layer = -1,
  x = 144,
  y = 16,
  width = 16,
  height = 16,
  pattern = "1582",
}

tile{
  layer = -1,
  x = 144,
  y = 32,
  width = 8,
  height = 8,
  pattern = "1582",
}

tile{
  layer = -1,
  x = -24,
  y = 48,
  width = 560,
  height = 16,
  pattern = "1577",
}

tile{
  layer = -1,
  x = 72,
  y = 48,
  width = 64,
  height = 8,
  pattern = "1582",
}

tile{
  layer = -1,
  x = 64,
  y = 32,
  width = 80,
  height = 16,
  pattern = "1582",
}

tile{
  layer = -1,
  x = 72,
  y = 0,
  width = 8,
  height = 8,
  pattern = "1600",
}

tile{
  layer = -1,
  x = 64,
  y = 8,
  width = 8,
  height = 8,
  pattern = "1600",
}

tile{
  layer = -1,
  x = 64,
  y = 16,
  width = 8,
  height = 8,
  pattern = "1602",
}

tile{
  layer = -1,
  x = 64,
  y = 32,
  width = 8,
  height = 8,
  pattern = "1602",
}

tile{
  layer = -1,
  x = 64,
  y = 24,
  width = 8,
  height = 8,
  pattern = "1600",
}

tile{
  layer = -1,
  x = 72,
  y = 40,
  width = 8,
  height = 8,
  pattern = "1604",
}

tile{
  layer = -1,
  x = 80,
  y = 48,
  width = 48,
  height = 8,
  pattern = "1599",
}

tile{
  layer = -1,
  x = 128,
  y = 40,
  width = 8,
  height = 8,
  pattern = "1605",
}

tile{
  layer = -1,
  x = 136,
  y = 32,
  width = 8,
  height = 8,
  pattern = "1605",
}

tile{
  layer = -1,
  x = 144,
  y = 24,
  width = 8,
  height = 8,
  pattern = "1605",
}

tile{
  layer = -1,
  x = 152,
  y = 16,
  width = 8,
  height = 8,
  pattern = "1605",
}

tile{
  layer = -1,
  x = 80,
  y = 56,
  width = 48,
  height = 8,
  pattern = "1606",
}

tile{
  layer = -1,
  x = 160,
  y = 16,
  width = 64,
  height = 8,
  pattern = "1599",
}

tile{
  layer = -1,
  x = 160,
  y = 24,
  width = 64,
  height = 8,
  pattern = "1606",
}

tile{
  layer = -1,
  x = 224,
  y = 8,
  width = 8,
  height = 8,
  pattern = "1605",
}

tile{
  layer = -1,
  x = 232,
  y = 0,
  width = 8,
  height = 8,
  pattern = "1605",
}

tile{
  layer = -1,
  x = 240,
  y = 8,
  width = 8,
  height = 8,
  pattern = "1608",
}

tile{
  layer = -1,
  x = 248,
  y = 0,
  width = 8,
  height = 8,
  pattern = "1608",
}

tile{
  layer = -1,
  x = 224,
  y = 24,
  width = 8,
  height = 8,
  pattern = "1608",
}

tile{
  layer = -1,
  x = 232,
  y = 16,
  width = 8,
  height = 8,
  pattern = "1608",
}

tile{
  layer = -1,
  x = 144,
  y = 40,
  width = 8,
  height = 8,
  pattern = "1608",
}

tile{
  layer = -1,
  x = 152,
  y = 32,
  width = 8,
  height = 8,
  pattern = "1608",
}

tile{
  layer = -1,
  x = 128,
  y = 56,
  width = 8,
  height = 8,
  pattern = "1608",
}

tile{
  layer = -1,
  x = 136,
  y = 48,
  width = 8,
  height = 8,
  pattern = "1608",
}

tile{
  layer = -1,
  x = 72,
  y = 56,
  width = 8,
  height = 8,
  pattern = "1607",
}

tile{
  layer = -1,
  x = 64,
  y = 48,
  width = 8,
  height = 8,
  pattern = "1607",
}

tile{
  layer = -1,
  x = 224,
  y = 0,
  width = 8,
  height = 8,
  pattern = "1581",
}

tile{
  layer = -1,
  x = 144,
  y = 0,
  width = 80,
  height = 16,
  pattern = "1581",
}

tile{
  layer = -1,
  x = 144,
  y = 16,
  width = 8,
  height = 8,
  pattern = "1581",
}

tile{
  layer = -1,
  x = 72,
  y = 8,
  width = 8,
  height = 32,
  pattern = "1581",
}

tile{
  layer = -1,
  x = 80,
  y = 40,
  width = 48,
  height = 8,
  pattern = "1581",
}

tile{
  layer = -1,
  x = 128,
  y = 32,
  width = 8,
  height = 8,
  pattern = "1581",
}

tile{
  layer = -1,
  x = 80,
  y = 0,
  width = 48,
  height = 40,
  pattern = "1581",
}

tile{
  layer = -1,
  x = 128,
  y = 0,
  width = 16,
  height = 32,
  pattern = "1581",
}

tile{
  layer = 0,
  x = 0,
  y = 176,
  width = 512,
  height = 176,
  pattern = "347",
}

tile{
  layer = 0,
  x = 0,
  y = 56,
  width = 512,
  height = 88,
  pattern = "347",
}

tile{
  layer = 0,
  x = 320,
  y = 48,
  width = 120,
  height = 8,
  pattern = "347",
}

tile{
  layer = 0,
  x = 0,
  y = 56,
  width = 152,
  height = 16,
