properties{
  x = 0,
  y = 0,
  width = 1600,
  height = 1680,
  min_layer = 0,
  max_layer = 2,
  tileset = "house",
  music = "tmc/Maison_de_Link_(The_Minish_Cap)",
}

tile{
  layer = 1,
  x = 152,
  y = 200,
  width = 16,
  height = 32,
  pattern = "floor.1",
}

tile{
  layer = 1,
  x = 168,
  y = 200,
  width = 8,
  height = 32,
  pattern = "barrier.2",
}

tile{
  layer = 1,
  x = 144,
  y = 200,
  width = 8,
  height = 32,
  pattern = "barrier.2",
}

tile{
  layer = 1,
  x = 152,
  y = 232,
  width = 16,
  height = 8,
  pattern = "barrier.1",
}

tile{
  layer = 1,
  x = 32,
  y = 16,
  width = 24,
  height = 24,
  pattern = "wall.corner.1",
}

tile{
  layer = 1,
  x = 32,
  y = 184,
  width = 24,
  height = 24,
  pattern = "wall.corner.3",
}

tile{
  layer = 1,
  x = 56,
  y = 184,
  width = 96,
  height = 24,
  pattern = "wall.2",
}

tile{
  layer = 1,
  x = 264,
  y = 184,
  width = 24,
  height = 24,
  pattern = "wall.corner.4",
}

tile{
  layer = 1,
  x = 264,
  y = 40,
  width = 24,
  height = 144,
  pattern = "wall.4",
}

tile{
  layer = 1,
  x = 264,
  y = 16,
  width = 24,
  height = 24,
  pattern = "wall.corner.2",
}

tile{
  layer = 1,
  x = 56,
  y = 16,
  width = 208,
  height = 24,
  pattern = "wall.1",
}

tile{
  layer = 1,
  x = 32,
  y = 40,
  width = 24,
  height = 144,
  pattern = "wall.3",
}

tile{
  layer = 1,
  x = 168,
  y = 184,
  width = 96,
  height = 24,
  pattern = "wall.2",
}

tile{
  layer = 1,
  x = 64,
  y = 48,
  width = 192,
  height = 128,
  pattern = "floor.1",
}

tile{
  layer = 1,
  x = 64,
  y = 40,
  width = 192,
  height = 8,
  pattern = "wall_border.1",
}

tile{
  layer = 1,
  x = 56,
  y = 48,
  width = 8,
  height = 128,
  pattern = "wall_border.3",
}

tile{
  layer = 1,
  x = 256,
  y = 48,
  width = 8,
  height = 128,
  pattern = "wall_border.4",
}

tile{
  layer = 1,
  x = 64,
  y = 176,
  width = 192,
  height = 8,
  pattern = "wall_border.2",
}

tile{
  layer = 1,
  x = 56,
  y = 40,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1",
}

tile{
  layer = 1,
  x = 256,
  y = 40,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.2",
}

tile{
  layer = 1,
  x = 56,
  y = 176,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3",
}

tile{
  layer = 1,
  x = 256,
  y = 176,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4",
}

tile{
  layer = 1,
  x = 144,
  y = 184,
  width = 8,
  height = 16,
  pattern = "door.2.support.1",
}

tile{
  layer = 1,
  x = 168,
  y = 184,
  width = 8,
  height = 16,
  pattern = "door.2.support.2",
}

tile{
  layer = 1,
  x = 152,
  y = 184,
  width = 16,
  height = 16,
  pattern = "door.2",
}

tile{
  layer = 1,
  x = 136,
  y = 88,
  width = 8,
  height = 8,
  pattern = "725",
}

tile{
  layer = 1,
  x = 136,
  y = 56,
  width = 8,
  height = 8,
  pattern = "719",
}

tile{
  layer = 1,
  x = 56,
  y = 88,
  width = 80,
  height = 8,
  pattern = "724",
}

tile{
  layer = 1,
  x = 56,
  y = 64,
  width = 80,
  height = 24,
  pattern = "721",
}

tile{
  layer = 1,
  x = 56,
  y = 56,
  width = 80,
  height = 8,
  pattern = "718",
}

tile{
  layer = 1,
  x = 136,
  y = 64,
  width = 8,
  height = 24,
  pattern = "720",
}

tile{
  layer = 1,
  x = 472,
  y = 200,
  width = 16,
  height = 32,
  pattern = "floor.1",
}

tile{
  layer = 1,
  x = 488,
  y = 200,
  width = 8,
  height = 32,
  pattern = "barrier.2",
}

tile{
  layer = 1,
  x = 464,
  y = 200,
  width = 8,
  height = 32,
  pattern = "barrier.2",
}

tile{
  layer = 1,
  x = 472,
  y = 232,
  width = 16,
  height = 8,
  pattern = "barrier.1",
}

tile{
  layer = 1,
  x = 352,
  y = 16,
  width = 24,
  height = 24,
  pattern = "wall.corner.1",
}

tile{
  layer = 1,
  x = 352,
  y = 184,
  width = 24,
  height = 24,
  pattern = "wall.corner.3",
}

tile{
  layer = 1,
  x = 376,
  y = 184,
  width = 96,
  height = 24,
  pattern = "wall.2",
}

tile{
  layer = 1,
  x = 584,
  y = 184,
  width = 24,
  height = 24,
  pattern = "wall.corner.4",
}

tile{
  layer = 1,
  x = 584,
  y = 40,
  width = 24,
  height = 144,
  pattern = "wall.4",
}

tile{
  layer = 1,
  x = 584,
  y = 16,
  width = 24,
  height = 24,
  pattern = "wall.corner.2",
}

tile{
  layer = 1,
  x = 376,
  y = 16,
  width = 208,
  height = 24,
  pattern = "wall.1",
}

tile{
  layer = 1,
  x = 352,
  y = 40,
  width = 24,
  height = 144,
  pattern = "wall.3",
}

tile{
  layer = 1,
  x = 488,
  y = 184,
  width = 96,
  height = 24,
  pattern = "wall.2",
}

tile{
  layer = 1,
  x = 384,
  y = 48,
  width = 192,
  height = 128,
  pattern = "floor.1",
}

tile{
  layer = 1,
  x = 384,
  y = 40,
  width = 192,
  height = 8,
  pattern = "wall_border.1",
}

tile{
  layer = 1,
  x = 376,
  y = 48,
  width = 8,
  height = 128,
  pattern = "wall_border.3",
}

tile{
  layer = 1,
  x = 576,
  y = 48,
  width = 8,
  height = 128,
  pattern = "wall_border.4",
}

tile{
  layer = 1,
  x = 384,
  y = 176,
  width = 192,
  height = 8,
  pattern = "wall_border.2",
}

tile{
  layer = 1,
  x = 376,
  y = 40,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1",
}

tile{
  layer = 1,
  x = 576,
  y = 40,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.2",
}

tile{
  layer = 1,
  x = 376,
  y = 176,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3",
}

tile{
  layer = 1,
  x = 576,
  y = 176,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4",
}

tile{
  layer = 1,
  x = 464,
  y = 184,
  width = 8,
  height = 16,
  pattern = "door.2.support.1",
}

tile{
