properties{
  x = 0,
  y = 0,
  width = 704,
  height = 704,
  min_layer = -1,
  max_layer = 2,
  world = "inside_world",
  tileset = "absolute_dungeon_07",
}

tile{
  layer = -1,
  x = 320,
  y = 608,
  width = 96,
  height = 32,
  pattern = "floor.16-2",
}

tile{
  layer = -1,
  x = 416,
  y = 416,
  width = 224,
  height = 224,
  pattern = "floor.16-2",
}

tile{
  layer = -1,
  x = 240,
  y = 608,
  width = 80,
  height = 80,
  pattern = "floor.16-2",
}

tile{
  layer = -1,
  x = 312,
  y = 640,
  width = 8,
  height = 48,
  pattern = "wall_low_border.4-3",
}

tile{
  layer = -1,
  x = 320,
  y = 632,
  width = 320,
  height = 8,
  pattern = "wall_low_border.2-3",
}

tile{
  layer = -1,
  x = 480,
  y = 128,
  width = 80,
  height = 96,
  pattern = "floor.16-2",
}

tile{
  layer = -1,
  x = 416,
  y = 64,
  width = 64,
  height = 224,
  pattern = "floor.16-2",
}

tile{
  layer = -1,
  x = 480,
  y = 128,
  width = 80,
  height = 8,
  pattern = "wall_low_border.1-3",
}

tile{
  layer = -1,
  x = 480,
  y = 216,
  width = 80,
  height = 8,
  pattern = "wall_low_border.2-3",
}

tile{
  layer = -1,
  x = 472,
  y = 224,
  width = 8,
  height = 64,
  pattern = "wall_low_border.4-3",
}

tile{
  layer = -1,
  x = 472,
  y = 64,
  width = 8,
  height = 64,
  pattern = "wall_low_border.4-3",
}

tile{
  layer = -1,
  x = 472,
  y = 64,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.2-3",
}

tile{
  layer = -1,
  x = 552,
  y = 216,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.4-3",
}

tile{
  layer = -1,
  x = 472,
  y = 280,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.4-3",
}

tile{
  layer = -1,
  x = 496,
  y = 224,
  width = 64,
  height = 24,
  pattern = "wall_low.2-2",
}

tile{
  layer = -1,
  x = 240,
  y = 616,
  width = 8,
  height = 64,
  pattern = "wall_low_border.3-3",
}

tile{
  layer = -1,
  x = 160,
  y = 448,
  width = 96,
  height = 144,
  pattern = "hole",
}

tile{
  layer = -1,
  x = 640,
  y = 288,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.4-2",
}

tile{
  layer = -1,
  x = 560,
  y = 104,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.2-2",
}

tile{
  layer = -1,
  x = 392,
  y = 288,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.3-2",
}

tile{
  layer = -1,
  x = 560,
  y = 128,
  width = 24,
  height = 96,
  pattern = "wall_low.4-2",
}

tile{
  layer = -1,
  x = 392,
  y = 64,
  width = 24,
  height = 224,
  pattern = "wall_low.3-2",
}

tile{
  layer = -1,
  x = 392,
  y = 40,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-2",
}

tile{
  layer = -1,
  x = 416,
  y = 40,
  width = 64,
  height = 24,
  pattern = "wall_low.1-2",
}

tile{
  layer = -1,
  x = 424,
  y = 64,
  width = 48,
  height = 8,
  pattern = "wall_low_border.1-3",
}

tile{
  layer = -1,
  x = 416,
  y = 72,
  width = 8,
  height = 208,
  pattern = "wall_low_border.3-3",
}

tile{
  layer = -1,
  x = 552,
  y = 136,
  width = 8,
  height = 80,
  pattern = "wall_low_border.4-3",
}

tile{
  layer = -1,
  x = 416,
  y = 64,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.1-3",
}

tile{
  layer = -1,
  x = 552,
  y = 128,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.2-3",
}

tile{
  layer = -1,
  x = 416,
  y = 280,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.3-3",
}

tile{
  layer = -1,
  x = 640,
  y = 640,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.4-2",
}

tile{
  layer = -1,
  x = 640,
  y = 392,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.2-2",
}

tile{
  layer = -1,
  x = 336,
  y = 640,
  width = 304,
  height = 24,
  pattern = "wall_low.2-2",
}

tile{
  layer = -1,
  x = 640,
  y = 416,
  width = 24,
  height = 224,
  pattern = "wall_low.4-2",
}

tile{
  layer = -1,
  x = 392,
  y = 416,
  width = 24,
  height = 176,
  pattern = "wall_low.3-2",
}

tile{
  layer = -1,
  x = 392,
  y = 392,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-2",
}

tile{
  layer = -1,
  x = 416,
  y = 392,
  width = 224,
  height = 24,
  pattern = "wall_low.1-2",
}

tile{
  layer = -1,
  x = 424,
  y = 416,
  width = 208,
  height = 8,
  pattern = "wall_low_border.1-3",
}

tile{
  layer = -1,
  x = 416,
  y = 416,
  width = 8,
  height = 192,
  pattern = "wall_low_border.3-3",
}

tile{
  layer = -1,
  x = 632,
  y = 424,
  width = 8,
  height = 208,
  pattern = "wall_low_border.4-3",
}

tile{
  layer = -1,
  x = 416,
  y = 416,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.1-3",
}

tile{
  layer = -1,
  x = 632,
  y = 416,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.2-3",
}

tile{
  layer = -1,
  x = 632,
  y = 632,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.4-3",
}

tile{
  layer = -1,
  x = 128,
  y = 592,
  width = 96,
  height = 24,
  pattern = "wall_low.2-2",
}

tile{
  layer = -1,
  x = 104,
  y = 592,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.3-2",
}

tile{
  layer = -1,
  x = 224,
  y = 424,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.2-2",
}

tile{
  layer = -1,
  x = 176,
  y = 424,
  width = 48,
  height = 24,
  pattern = "wall_low.1-2",
}

tile{
  layer = -1,
  x = 104,
  y = 456,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-2",
}

tile{
  layer = -1,
  x = 152,
  y = 424,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-2",
}

tile{
  layer = -1,
  x = 152,
  y = 448,
  width = 24,
  height = 16,
  pattern = "wall_low.3-2",
}

tile{
  layer = -1,
  x = 128,
  y = 456,
