properties{
  x = 0,
  y = 0,
  width = 640,
  height = 480,
  min_layer = -1,
  max_layer = 2,
  world = "inside_world",
  tileset = "absolute_dungeon_07",
}

tile{
  layer = -1,
  x = 40,
  y = 40,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-2",
}

tile{
  layer = -1,
  x = 40,
  y = 112,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.3-2",
}

tile{
  layer = -1,
  x = 256,
  y = 112,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.4-2",
}

tile{
  layer = -1,
  x = 256,
  y = 40,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.2-2",
}

tile{
  layer = -1,
  x = 64,
  y = 40,
  width = 192,
  height = 24,
  pattern = "wall_low.1-2",
}

tile{
  layer = -1,
  x = 256,
  y = 96,
  width = 24,
  height = 16,
  pattern = "wall_low.4-2",
}

tile{
  layer = -1,
  x = 64,
  y = 112,
  width = 192,
  height = 24,
  pattern = "wall_low.2-2",
}

tile{
  layer = -1,
  x = 40,
  y = 64,
  width = 24,
  height = 48,
  pattern = "wall_low.3-2",
}

tile{
  layer = -1,
  x = 64,
  y = 64,
  width = 192,
  height = 48,
  pattern = "floor.16-2",
}

tile{
  layer = -1,
  x = 72,
  y = 64,
  width = 176,
  height = 8,
  pattern = "wall_low_border.1-3",
}

tile{
  layer = -1,
  x = 64,
  y = 72,
  width = 8,
  height = 32,
  pattern = "wall_low_border.3-3",
}

tile{
  layer = -1,
  x = 248,
  y = 72,
  width = 8,
  height = 32,
  pattern = "wall_low_border.4-3",
}

tile{
  layer = -1,
  x = 72,
  y = 104,
  width = 176,
  height = 8,
  pattern = "wall_low_border.2-3",
}

tile{
  layer = -1,
  x = 64,
  y = 64,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.1-3",
}

tile{
  layer = -1,
  x = 248,
  y = 64,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.2-3",
}

tile{
  layer = -1,
  x = 64,
  y = 104,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.3-3",
}

tile{
  layer = -1,
  x = 248,
  y = 104,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.4-3",
}

tile{
  layer = -1,
  x = 360,
  y = 40,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-2",
}

tile{
  layer = -1,
  x = 360,
  y = 176,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.3-2",
}

tile{
  layer = -1,
  x = 496,
  y = 176,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.4-2",
}

tile{
  layer = -1,
  x = 496,
  y = 40,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.2-2",
}

tile{
  layer = -1,
  x = 384,
  y = 40,
  width = 112,
  height = 24,
  pattern = "wall_low.1-2",
}

tile{
  layer = -1,
  x = 496,
  y = 64,
  width = 24,
  height = 112,
  pattern = "wall_low.4-2",
}

tile{
  layer = -1,
  x = 384,
  y = 176,
  width = 48,
  height = 24,
  pattern = "wall_low.2-2",
}

tile{
  layer = -1,
  x = 360,
  y = 96,
  width = 24,
  height = 80,
  pattern = "wall_low.3-2",
}

tile{
  layer = -1,
  x = 384,
  y = 64,
  width = 112,
  height = 112,
  pattern = "floor.16-2",
}

tile{
  layer = -1,
  x = 392,
  y = 64,
  width = 96,
  height = 8,
  pattern = "wall_low_border.1-3",
}

tile{
  layer = -1,
  x = 384,
  y = 72,
  width = 8,
  height = 96,
  pattern = "wall_low_border.3-3",
}

tile{
  layer = -1,
  x = 488,
  y = 72,
  width = 8,
  height = 96,
  pattern = "wall_low_border.4-3",
}

tile{
  layer = -1,
  x = 392,
  y = 168,
  width = 96,
  height = 8,
  pattern = "wall_low_border.2-3",
}

tile{
  layer = -1,
  x = 384,
  y = 64,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.1-3",
}

tile{
  layer = -1,
  x = 488,
  y = 64,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.2-3",
}

tile{
  layer = -1,
  x = 384,
  y = 168,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.3-3",
}

tile{
  layer = -1,
  x = 488,
  y = 168,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.4-3",
}

tile{
  layer = -1,
  x = 360,
  y = 280,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-2",
}

tile{
  layer = -1,
  x = 360,
  y = 416,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.3-2",
}

tile{
  layer = -1,
  x = 576,
  y = 416,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.4-2",
}

tile{
  layer = -1,
  x = 576,
  y = 280,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.2-2",
}

tile{
  layer = -1,
  x = 384,
  y = 280,
  width = 48,
  height = 24,
  pattern = "wall_low.1-2",
}

tile{
  layer = -1,
  x = 576,
  y = 304,
  width = 24,
  height = 112,
  pattern = "wall_low.4-2",
}

tile{
  layer = -1,
  x = 384,
  y = 416,
  width = 192,
  height = 24,
  pattern = "wall_low.2-2",
}

tile{
  layer = -1,
  x = 360,
  y = 368,
  width = 24,
  height = 48,
  pattern = "wall_low.3-2",
}

tile{
  layer = -1,
  x = 384,
  y = 304,
  width = 192,
  height = 112,
  pattern = "floor.16-2",
}

tile{
  layer = -1,
  x = 392,
  y = 304,
  width = 176,
  height = 8,
  pattern = "wall_low_border.1-3",
}

tile{
  layer = -1,
  x = 384,
  y = 312,
  width = 8,
  height = 96,
  pattern = "wall_low_border.3-3",
}

tile{
  layer = -1,
  x = 568,
  y = 312,
  width = 8,
  height = 96,
  pattern = "wall_low_border.4-3",
}

tile{
  layer = -1,
  x = 392,
  y = 408,
  width = 176,
  height = 8,
  pattern = "wall_low_border.2-3",
}

tile{
  layer = -1,
  x = 384,
  y = 304,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.1-3",
}

tile{
  layer = -1,
  x = 568,
  y = 304,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.2-3",
}

tile{
  layer = -1,
  x = 384,
  y = 408,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.3-3",
}

tile{
