properties{
  x = 0,
  y = 0,
  width = 960,
  height = 960,
  min_layer = -1,
  max_layer = 2,
  world = "inside_world",
  tileset = "Absolute Dungeon 07",
}

tile{
  layer = 0,
  x = 40,
  y = 40,
  width = 880,
  height = 880,
  pattern = "floor.16-1",
}

tile{
  layer = 0,
  x = 16,
  y = 16,
  width = 24,
  height = 24,
  pattern = "wall.corner.1-3",
}

tile{
  layer = 0,
  x = 16,
  y = 920,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-3",
}

tile{
  layer = 0,
  x = 920,
  y = 920,
  width = 24,
  height = 24,
  pattern = "wall.corner.4-3",
}

tile{
  layer = 0,
  x = 920,
  y = 16,
  width = 24,
  height = 24,
  pattern = "wall.corner.2-3",
}

tile{
  layer = 0,
  x = 40,
  y = 16,
  width = 880,
  height = 24,
  pattern = "wall.1-3",
}

tile{
  layer = 0,
  x = 16,
  y = 40,
  width = 24,
  height = 880,
  pattern = "wall.3-3",
}

tile{
  layer = 0,
  x = 40,
  y = 920,
  width = 880,
  height = 24,
  pattern = "wall.2-3",
}

tile{
  layer = 0,
  x = 920,
  y = 40,
  width = 24,
  height = 880,
  pattern = "wall.4-3",
}

tile{
  layer = 0,
  x = 40,
  y = 40,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1-3",
}

tile{
  layer = 0,
  x = 40,
  y = 912,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3-3",
}

tile{
  layer = 0,
  x = 912,
  y = 912,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4-3",
}

tile{
  layer = 0,
  x = 912,
  y = 40,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.2-3",
}

tile{
  layer = 0,
  x = 48,
  y = 40,
  width = 864,
  height = 8,
  pattern = "wall_border.1-3",
}

tile{
  layer = 0,
  x = 48,
  y = 912,
  width = 864,
  height = 8,
  pattern = "wall_border.2-3",
}

tile{
  layer = 0,
  x = 40,
  y = 48,
  width = 8,
  height = 864,
  pattern = "wall_border.3-3",
}

tile{
  layer = 0,
  x = 912,
  y = 48,
  width = 8,
  height = 864,
  pattern = "wall_border.4-3",
}

destination{
  name = "destination",
  layer = 0,
  x = 504,
  y = 909,
  direction = 1,
}

enemy{
  layer = 0,
  x = 264,
  y = 157,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 104,
  y = 77,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 184,
  y = 221,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 424,
  y = 157,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 424,
  y = 253,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 376,
  y = 333,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 232,
  y = 349,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 328,
  y = 413,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 120,
  y = 429,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 360,
  y = 557,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 280,
  y = 621,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 248,
  y = 541,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 136,
  y = 669,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 488,
  y = 573,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 696,
  y = 477,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 760,
  y = 413,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 600,
  y = 381,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 696,
  y = 317,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 488,
  y = 333,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 680,
  y = 141,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 536,
  y = 157,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 632,
  y = 221,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 792,
  y = 141,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 712,
  y = 701,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 568,
  y = 717,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 664,
  y = 781,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 824,
  y = 701,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 408,
  y = 797,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 264,
  y = 813,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 360,
  y = 877,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 520,
  y = 797,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 680,
  y = 573,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 600,
  y = 637,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 568,
  y = 557,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 728,
  y = 813,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 584,
  y = 829,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 680,
  y = 893,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 232,
  y = 541,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 152,
  y = 605,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
  x = 120,
  y = 525,
  direction = 3,
  breed = "boulder_random",
}

enemy{
  layer = 0,
