properties{
  x = 1360,
  y = 584,
  width = 640,
  height = 720,
  min_layer = -1,
  max_layer = 2,
  world = "inside_world",
  floor = 0,
  tileset = "Absolute Dungeon 07",
  music = "inside/cave",
}

tile{
  layer = -1,
  x = 0,
  y = 0,
  width = 640,
  height = 720,
  pattern = "ceiling.2",
}

tile{
  layer = -1,
  x = 416,
  y = 544,
  width = 48,
  height = 48,
  pattern = "floor.16-2",
}

tile{
  layer = -1,
  x = 400,
  y = 432,
  width = 112,
  height = 112,
  pattern = "floor.16-2",
}

tile{
  layer = -1,
  x = 464,
  y = 480,
  width = 112,
  height = 144,
  pattern = "floor.16-2",
}

tile{
  layer = -1,
  x = 504,
  y = 432,
  width = 8,
  height = 48,
  pattern = "wall_low_border.4-3",
}

tile{
  layer = -1,
  x = 400,
  y = 536,
  width = 16,
  height = 8,
  pattern = "wall_low_border.2-3",
}

tile{
  layer = -1,
  x = 488,
  y = 616,
  width = 16,
  height = 16,
  pattern = "wall_low_diag.border.4-3",
}

tile{
  layer = -1,
  x = 496,
  y = 616,
  width = 80,
  height = 8,
  pattern = "wall_low_border.2-3",
}

tile{
  layer = -1,
  x = 512,
  y = 480,
  width = 64,
  height = 8,
  pattern = "wall_low_border.1-3",
}

tile{
  layer = -1,
  x = 408,
  y = 432,
  width = 96,
  height = 8,
  pattern = "wall_low_border.1-3",
}

tile{
  layer = -1,
  x = 504,
  y = 432,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.2-3",
}

tile{
  layer = -1,
  x = 496,
  y = 624,
  width = 80,
  height = 24,
  pattern = "wall_low.2-2",
}

tile{
  layer = -1,
  x = 432,
  y = 576,
  width = 16,
  height = 16,
  pattern = "wall_low_diag.bottom.3-3",
}

tile{
  layer = -1,
  x = 448,
  y = 576,
  width = 16,
  height = 16,
  pattern = "wall_low_diag.border.4-3",
}

tile{
  layer = -1,
  x = 488,
  y = 632,
  width = 16,
  height = 16,
  pattern = "wall_low_diag.bottom.3-3",
}

tile{
  layer = -1,
  x = 480,
  y = 624,
  width = 16,
  height = 16,
  pattern = "wall_low_diag.bottom.3-3",
}

tile{
  layer = -1,
  x = 472,
  y = 616,
  width = 16,
  height = 16,
  pattern = "wall_low_diag.bottom.3-3",
}

tile{
  layer = -1,
  x = 464,
  y = 608,
  width = 16,
  height = 16,
  pattern = "wall_low_diag.bottom.3-3",
}

tile{
  layer = -1,
  x = 480,
  y = 608,
  width = 16,
  height = 16,
  pattern = "wall_low_diag.border.4-3",
}

tile{
  layer = -1,
  x = 456,
  y = 600,
  width = 16,
  height = 16,
  pattern = "wall_low_diag.bottom.3-3",
}

tile{
  layer = -1,
  x = 472,
  y = 600,
  width = 16,
  height = 16,
  pattern = "wall_low_diag.border.4-3",
}

tile{
  layer = -1,
  x = 448,
  y = 592,
  width = 16,
  height = 16,
  pattern = "wall_low_diag.bottom.3-3",
}

tile{
  layer = -1,
  x = 464,
  y = 592,
  width = 16,
  height = 16,
  pattern = "wall_low_diag.border.4-3",
}

tile{
  layer = -1,
  x = 440,
  y = 584,
  width = 16,
  height = 16,
  pattern = "wall_low_diag.bottom.3-3",
}

tile{
  layer = -1,
  x = 456,
  y = 584,
  width = 16,
  height = 16,
  pattern = "wall_low_diag.border.4-3",
}

tile{
  layer = -1,
  x = 424,
  y = 568,
  width = 16,
  height = 16,
  pattern = "wall_low_diag.bottom.3-3",
}

tile{
  layer = -1,
  x = 440,
  y = 568,
  width = 16,
  height = 16,
  pattern = "wall_low_diag.border.4-3",
}

tile{
  layer = -1,
  x = 376,
  y = 544,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.3-2",
}

tile{
  layer = -1,
  x = 400,
  y = 544,
  width = 16,
  height = 24,
  pattern = "wall_low.2-2",
}

tile{
