properties{
  x = 0,
  y = 0,
  width = 1600,
  height = 1680,
  min_layer = 0,
  max_layer = 2,
  tileset = "Absolute Dungeon 07",
}

tile{
  layer = 0,
  x = 40,
  y = 1240,
  width = 240,
  height = 160,
  pattern = "floor.16-1",
}

tile{
  layer = 0,
  x = 16,
  y = 1400,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-3",
}

tile{
  layer = 0,
  x = 16,
  y = 1240,
  width = 24,
  height = 160,
  pattern = "wall.3-3",
}

tile{
  layer = 0,
  x = 16,
  y = 1216,
  width = 24,
  height = 24,
  pattern = "wall.corner.1-3",
}

tile{
  layer = 0,
  x = 40,
  y = 1216,
  width = 112,
  height = 24,
  pattern = "wall.1-3",
}

tile{
  layer = 0,
  x = 280,
  y = 1216,
  width = 24,
  height = 24,
  pattern = "wall.corner.2-3",
}

tile{
  layer = 0,
  x = 280,
  y = 1240,
  width = 24,
  height = 160,
  pattern = "wall.4-3",
}

tile{
  layer = 0,
  x = 280,
  y = 1400,
  width = 24,
  height = 24,
  pattern = "wall.corner.4-3",
}

tile{
  layer = 0,
  x = 40,
  y = 1400,
  width = 112,
  height = 24,
  pattern = "wall.2-3",
}

tile{
  layer = 0,
  x = 40,
  y = 1240,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1-3",
}

tile{
  layer = 0,
  x = 48,
  y = 1392,
  width = 224,
  height = 8,
  pattern = "wall_border.2-3",
}

tile{
  layer = 0,
  x = 40,
  y = 1392,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3-3",
}

tile{
  layer = 0,
  x = 272,
  y = 1392,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4-3",
}

tile{
  layer = 0,
  x = 272,
  y = 1240,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.2-3",
}

tile{
  layer = 0,
  x = 48,
  y = 1240,
  width = 224,
  height = 8,
  pattern = "wall_border.1-3",
}

tile{
  layer = 0,
  x = 272,
  y = 1248,
  width = 8,
  height = 144,
  pattern = "wall_border.4-3",
}

tile{
  layer = 0,
  x = 40,
  y = 1248,
  width = 8,
  height = 144,
  pattern = "wall_border.3-3",
}

tile{
  layer = 0,
  x = 168,
  y = 1400,
  width = 112,
  height = 24,
  pattern = "wall.2-3",
}

tile{
  layer = 0,
  x = 152,
  y = 1400,
  width = 16,
  height = 16,
  pattern = "door_main.2-3",
}

tile{
  layer = 0,
  x = 144,
  y = 1392,
  width = 32,
  height = 8,
  pattern = "door_main.2.floor.1-3",
}

tile{
  layer = 0,
  x = 144,
  y = 1400,
  width = 8,
  height = 16,
  pattern = "door_main.2.support.1-3",
}

tile{
  layer = 0,
  x = 168,
  y = 1400,
  width = 8,
  height = 16,
  pattern = "door_main.2.support.2-3",
}

tile{
  layer = 0,
  x = 40,
  y = 1000,
  width = 560,
  height = 160,
  pattern = "floor.16-1",
}

tile{
  layer = 0,
  x = 16,
  y = 1160,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-3",
}

tile{
  layer = 0,
  x = 16,
  y = 1000,
  width = 24,
  height = 160,
  pattern = "wall.3-3",
}

tile{
  layer = 0,
  x = 16,
  y = 976,
  width = 24,
  height = 24,
  pattern = "wall.corner.1-3",
}

tile{
  layer = 0,
  x = 600,
  y = 976,
  width = 24,
  height = 24,
  pattern = "wall.corner.2-3",
}

tile{
  layer = 0,
  x = 600,
  y = 1000,
  width = 24,
  height = 160,
  pattern = "wall.4-3",
}

tile{
  layer = 0,
  x = 600,
  y = 1160,
  width = 24,
  height = 24,
  pattern = "wall.corner.4-3",
}

tile{
  layer = 0,
  x = 40,
  y = 1160,
  width = 112,
  height = 24,
  pattern = "wall.2-3",
}

tile{
  layer = 0,
  x = 40,
  y = 1000,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1-3",
}

tile{
  layer = 0,
  x = 48,
  y = 1152,
  width = 544,
  height = 8,
  pattern = "wall_border.2-3",
}

tile{
  layer = 0,
  x = 40,
  y = 1152,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3-3",
}

tile{
  layer = 0,
  x = 592,
  y = 1152,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4-3",
}

tile{
  layer = 0,
  x = 592,
  y = 1000,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.2-3",
}

tile{
  layer = 0,
  x = 48,
  y = 1000,
  width = 544,
  height = 8,
  pattern = "wall_border.1-3",
}

tile{
  layer = 0,
  x = 592,
  y = 1008,
  width = 8,
  height = 144,
  pattern = "wall_border.4-3",
}

tile{
  layer = 0,
  x = 40,
  y = 1008,
  width = 8,
  height = 144,
  pattern = "wall_border.3-3",
}

tile{
  layer = 0,
  x = 360,
  y = 1240,
  width = 240,
  height = 160,
  pattern = "floor.16-1",
}

tile{
  layer = 0,
  x = 336,
  y = 1400,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-3",
}

tile{
  layer = 0,
  x = 336,
  y = 1240,
  width = 24,
  height = 160,
  pattern = "wall.3-3",
}

tile{
  layer = 0,
  x = 336,
  y = 1216,
  width = 24,
  height = 24,
  pattern = "wall.corner.1-3",
}

tile{
  layer = 0,
  x = 360,
  y = 1216,
  width = 112,
  height = 24,
  pattern = "wall.1-3",
}

tile{
  layer = 0,
  x = 600,
  y = 1216,
  width = 24,
  height = 24,
  pattern = "wall.corner.2-3",
}

tile{
  layer = 0,
  x = 600,
  y = 1240,
  width = 24,
  height = 160,
  pattern = "wall.4-3",
}

tile{
  layer = 0,
  x = 600,
  y = 1400,
  width = 24,
  height = 24,
  pattern = "wall.corner.4-3",
}

tile{
  layer = 0,
  x = 360,
  y = 1400,
  width = 112,
  height = 24,
  pattern = "wall.2-3",
}

tile{
  layer = 0,
  x = 360,
  y = 1240,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1-3",
}

tile{
  layer = 0,
  x = 368,
  y = 1392,
  width = 224,
  height = 8,
  pattern = "wall_border.2-3",
}

tile{
  layer = 0,
  x = 360,
  y = 1392,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3-3",
}

tile{
  layer = 0,
  x = 592,
  y = 1392,
  width = 8,
  height = 8,
