properties{
  x = 0,
  y = 0,
  width = 640,
  height = 720,
  min_layer = -1,
  max_layer = 2,
  world = "inside_world",
  floor = 0,
  tileset = "absolute_dungeon_07",
  music = "inside/cave",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 640,
  height = 720,
  pattern = "ceiling.2",
}

tile{
  layer = 0,
  x = 384,
  y = 40,
  width = 96,
  height = 80,
  pattern = "floor.16-1",
}

tile{
  layer = 0,
  x = 400,
  y = 40,
  width = 80,
  height = 80,
  pattern = "hole",
}

tile{
  layer = 0,
  x = 216,
  y = 248,
  width = 352,
  height = 48,
  pattern = "floor.16-1",
}

tile{
  layer = 0,
  x = 120,
  y = 248,
  width = 96,
  height = 192,
  pattern = "floor.16-1",
}

tile{
  layer = 0,
  x = 368,
  y = 56,
  width = 16,
  height = 16,
  pattern = "floor.16-1",
}

tile{
  layer = 0,
  x = 352,
  y = 72,
  width = 32,
  height = 160,
  pattern = "floor.16-1",
}

tile{
  layer = 0,
  x = 120,
  y = 232,
  width = 256,
  height = 16,
  pattern = "floor.16-1",
}

tile{
  layer = 0,
  x = 96,
  y = 216,
  width = 80,
  height = 16,
  pattern = "floor.16-1",
}

tile{
  layer = 0,
  x = 80,
  y = 200,
  width = 80,
  height = 16,
  pattern = "floor.16-1",
}

tile{
  layer = 0,
  x = 64,
  y = 184,
  width = 80,
  height = 16,
  pattern = "floor.16-1",
}

tile{
  layer = 0,
  x = 48,
  y = 168,
  width = 80,
  height = 16,
  pattern = "floor.16-1",
}

tile{
  layer = 0,
  x = 88,
  y = 152,
  width = 16,
  height = 16,
  pattern = "floor.16-1",
}

tile{
  layer = 0,
  x = 40,
  y = 40,
  width = 48,
  height = 128,
  pattern = "floor.16-1",
}

tile{
  layer = 0,
  x = 128,
  y = 432,
  width = 80,
  height = 8,
  pattern = "wall_border.2-3",
}

tile{
  layer = 0,
  x = 152,
  y = 440,
  width = 16,
  height = 16,
  pattern = "door_blast.2",
}

tile{
  layer = 0,
  x = 208,
  y = 304,
  width = 8,
  height = 128,
  pattern = "wall_border.4-3",
}

tile{
  layer = 0,
  x = 80,
  y = 136,
  width = 16,
  height = 16,
  pattern = "wall_diag.border.2-3",
}

tile{
  layer = 0,
  x = 192,
  y = 216,
  width = 144,
  height = 24,
  pattern = "wall.1-3",
}

tile{
  layer = 0,
  x = 120,
  y = 520,
  width = 80,
  height = 160,
  pattern = "floor.16-1",
}

tile{
  layer = 0,
  x = 96,
  y = 680,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-3",
}

tile{
  layer = 0,
  x = 96,
  y = 520,
  width = 24,
  height = 160,
  pattern = "wall.3-3",
}

tile{
  layer = 0,
  x = 200,
  y = 520,
  width = 24,
  height = 160,
  pattern = "wall.4-3",
}

tile{
  layer = 0,
  x = 200,
  y = 680,
  width = 24,
  height = 24,
  pattern = "wall.corner.4-3",
}

tile{
  layer = 0,
  x = 120,
  y = 680,
  width = 32,
  height = 24,
  pattern = "wall.2-3",
}

tile{
  layer = 0,
  x = 168,
  y = 680,
  width = 32,
  height = 24,
  pattern = "wall.2-3",
}

tile{
  layer = 0,
  x = 120,
  y = 672,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3-3",
}

tile{
  layer = 0,
  x = 128,
  y = 672,
  width = 64,
  height = 8,
  pattern = "wall_border.2-3",
}

tile{
  layer = 0,
  x = 192,
  y = 672,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4-3",
}

tile{
  layer = 0,
  x = 120,
  y = 528,
  width = 8,
  height = 144,
  pattern = "wall_border.3-3",
}

tile{
  layer = 0,
  x = 192,
  y = 528,
  width = 8,
  height = 144,
  pattern = "wall_border.4-3",
}

tile{
  layer = 0,
  x = 120,
  y = 520,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1-3",
}

tile{
  layer = 0,
  x = 128,
  y = 520,
  width = 64,
  height = 8,
  pattern = "wall_border.1-3",
}

tile{
  layer = 0,
  x = 192,
  y = 520,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.4-2",
}

tile{
  layer = 0,
  x = 96,
  y = 496,
  width = 24,
  height = 24,
  pattern = "wall.corner.1-3",
}

tile{
  layer = 0,
  x = 120,
  y = 496,
  width = 32,
  height = 24,
  pattern = "wall.1-3",
}

tile{
  layer = 0,
  x = 168,
  y = 496,
  width = 32,
  height = 24,
  pattern = "wall.1-3",
}

tile{
  layer = 0,
  x = 200,
  y = 496,
  width = 24,
  height = 24,
  pattern = "wall.corner.2-3",
}

tile{
  layer = 0,
  x = 152,
  y = 504,
  width = 16,
  height = 16,
  pattern = "door_blast.1",
}

tile{
  layer = 0,
  x = 152,
  y = 256,
  width = 16,
  height = 400,
  pattern = "rail.1",
}

tile{
  layer = 0,
  x = 96,
  y = 440,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-3",
}

tile{
  layer = 0,
  x = 96,
  y = 232,
  width = 24,
  height = 208,
  pattern = "wall.3-3",
}

tile{
  layer = 0,
  x = 88,
  y = 224,
  width = 16,
  height = 16,
  pattern = "wall_diag.3-3",
}

tile{
  layer = 0,
  x = 104,
  y = 224,
  width = 16,
  height = 16,
  pattern = "wall_diag.border.3-3",
}

tile{
  layer = 0,
  x = 80,
  y = 216,
  width = 16,
  height = 16,
  pattern = "wall_diag.3-3",
}

tile{
  layer = 0,
  x = 96,
  y = 216,
  width = 16,
  height = 16,
  pattern = "wall_diag.border.3-3",
}

tile{
  layer = 0,
  x = 72,
  y = 208,
  width = 16,
  height = 16,
  pattern = "wall_diag.3-3",
}

tile{
  layer = 0,
  x = 88,
  y = 208,
  width = 16,
  height = 16,
  pattern = "wall_diag.border.3-3",
}

tile{
  layer = 0,
  x = 64,
  y = 200,
  width = 16,
  height = 16,
  pattern = "wall_diag.3-3",
}

tile{
  layer = 0,
  x = 80,
  y = 200,
  width = 16,
  height = 16,
  pattern = "wall_diag.border.3-3",
}

tile{
  layer = 0,
  x = 56,
  y = 192,
  width = 16,
  height = 16,
  pattern = "wall_diag.3-3",
}

tile{
  layer = 0,
  x = 72,
  y = 192,
  width = 16,
  height = 16,
  pattern = "wall_diag.border.3-3",
