properties{
  x = 0,
  y = 0,
  width = 320,
  height = 720,
  min_layer = -1,
  max_layer = 2,
  tileset = "Absolute Dungeon 09",
}

tile{
  layer = -1,
  x = 56,
  y = 656,
  width = 96,
  height = 24,
  pattern = "wall_low.2-1",
}

tile{
  layer = -1,
  x = 72,
  y = 648,
  width = 176,
  height = 8,
  pattern = "wall_low_border.2-2",
}

tile{
  layer = -1,
  x = 120,
  y = 648,
  width = 24,
  height = 32,
  pattern = "door_main.2.pillar.1-1",
}

tile{
  layer = -1,
  x = 72,
  y = 312,
  width = 176,
  height = 336,
  pattern = "floor.12-2",
}

tile{
  layer = -1,
  x = 136,
  y = 624,
  width = 8,
  height = 32,
  pattern = "floor_border.2",
}

tile{
  layer = -1,
  x = 168,
  y = 656,
  width = 96,
  height = 24,
  pattern = "wall_low.2-1",
}

tile{
  layer = -1,
  x = 40,
  y = 656,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.3-1",
}

tile{
  layer = -1,
  x = 40,
  y = 304,
  width = 24,
  height = 352,
  pattern = "wall_low.3-1",
}

tile{
  layer = -1,
  x = 256,
  y = 304,
  width = 24,
  height = 352,
  pattern = "wall_low.4-1",
}

tile{
  layer = -1,
  x = 256,
  y = 280,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.2-1",
}

tile{
  layer = -1,
  x = 256,
  y = 656,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.4-1",
}

tile{
  layer = -1,
  x = 64,
  y = 280,
  width = 192,
  height = 24,
  pattern = "wall_low.1-1",
}

tile{
  layer = -1,
  x = 64,
  y = 304,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.1-2",
}

tile{
  layer = -1,
  x = 64,
  y = 648,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.3-2",
}

tile{
  layer = -1,
  x = 248,
  y = 648,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.4-2",
}

tile{
  layer = -1,
  x = 248,
  y = 304,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.2-2",
}

tile{
  layer = -1,
  x = 72,
  y = 304,
  width = 176,
  height = 8,
  pattern = "wall_low_border.1-2",
}

tile{
  layer = -1,
  x = 64,
  y = 312,
  width = 8,
  height = 336,
  pattern = "wall_low_border.3-2",
}

tile{
  layer = -1,
  x = 248,
  y = 312,
  width = 8,
  height = 336,
  pattern = "wall_low_border.4-2",
}

tile{
  layer = -1,
  x = 168,
  y = 656,
  width = 8,
  height = 16,
  pattern = "door_main.2.support.2-1",
}

tile{
  layer = -1,
  x = 144,
  y = 656,
  width = 8,
  height = 16,
  pattern = "door_main.2.support.1-1",
}

tile{
  layer = -1,
  x = 152,
  y = 656,
  width = 16,
  height = 16,
  pattern = "door_main.2-1",
}

tile{
  layer = -1,
  x = 144,
  y = 632,
  width = 32,
  height = 24,
  pattern = "door_main.2.floor.1-1",
}

tile{
  layer = -1,
  x = 176,
  y = 624,
  width = 8,
  height = 32,
  pattern = "floor_border.2",
}

tile{
  layer = -1,
  x = 144,
  y = 624,
  width = 32,
  height = 8,
  pattern = "floor_border.2",
}

tile{
  layer = -1,
  x = 176,
  y = 648,
  width = 24,
  height = 32,
  pattern = "door_main.2.pillar.2-1",
}

tile{
  layer = 0,
  x = 16,
  y = 256,
  width = 24,
  height = 24,
  pattern = "wall.corner.1-2",
}

tile{
  layer = 0,
  x = 16,
  y = 680,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-2",
}

tile{
  layer = 0,
  x = 16,
  y = 280,
  width = 24,
  height = 400,
  pattern = "wall.3-2",
}

tile{
  layer = 0,
  x = 40,
  y = 256,
  width = 240,
  height = 24,
  pattern = "wall.1-2",
}

tile{
  layer = 0,
  x = 280,
  y = 256,
  width = 24,
  height = 24,
  pattern = "wall.corner.2-2",
}

tile{
  layer = 0,
  x = 280,
  y = 280,
  width = 24,
  height = 400,
  pattern = "wall.4-2",
}

tile{
  layer = 0,
  x = 280,
  y = 680,
  width = 24,
  height = 24,
  pattern = "wall.corner.4-2",
}

tile{
  layer = 0,
  x = 40,
  y = 680,
  width = 240,
  height = 24,
  pattern = "wall.2-2",
}

tile{
  layer = 0,
  x = 40,
  y = 280,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-1",
}

tile{
  layer = 0,
  x = 152,
  y = 672,
  width = 16,
  height = 8,
  pattern = "door_cache_low.2-1",
}

tile{
  layer = 0,
  x = 144,
  y = 360,
  width = 8,
  height = 264,
  pattern = "floor_border.4",
}

tile{
  layer = 0,
  x = 168,
  y = 360,
  width = 8,
  height = 264,
  pattern = "floor_border.4",
}

tile{
  layer = 0,
  x = 152,
  y = 360,
  width = 16,
  height = 264,
  pattern = "floor_small.1",
}

tile{
  layer = 0,
  x = 144,
  y = 352,
  width = 32,
  height = 8,
  pattern = "floor_border.4",
}

tile{
  layer = 1,
  x = 144,
  y = 672,
  width = 32,
  height = 8,
  pattern = "door_top.2-2",
}

