properties{
  x = 0,
  y = 0,
  width = 2560,
  height = 2880,
  min_layer = 0,
  max_layer = 2,
  tileset = "forest",
  music = "same",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 2560,
  height = 2880,
  pattern = "grass.soil",
}

tile{
  layer = 0,
  x = 1280,
  y = 1200,
  width = 320,
  height = 240,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 960,
  y = 1440,
  width = 640,
  height = 480,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 640,
  y = 960,
  width = 952,
  height = 240,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1600,
  y = 480,
  width = 960,
  height = 240,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 960,
  y = 0,
  width = 320,
  height = 720,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 320,
  y = 240,
  width = 640,
  height = 240,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 312,
  y = 232,
  width = 16,
  height = 16,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2128,
  y = 1696,
  width = 16,
  height = 32,
  pattern = "forest.4",
}

tile{
  layer = 0,
  x = 1664,
  y = 1160,
  width = 8,
  height = 320,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1600,
  y = 1152,
  width = 64,
  height = 488,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1672,
  y = 1160,
  width = 8,
  height = 312,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2480,
  y = 1200,
  width = 16,
  height = 104,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1600,
  y = 960,
  width = 144,
  height = 192,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2168,
  y = 1384,
  width = 40,
  height = 32,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2200,
  y = 1168,
  width = 32,
  height = 64,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1912,
  y = 1424,
  width = 64,
  height = 56,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2304,
  y = 960,
  width = 144,
  height = 48,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2128,
  y = 1120,
  width = 40,
  height = 128,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2144,
  y = 1048,
  width = 56,
  height = 184,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1960,
  y = 1256,
  width = 80,
  height = 64,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1984,
  y = 1224,
  width = 80,
  height = 64,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1968,
  y = 1104,
  width = 112,
  height = 120,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1912,
  y = 960,
  width = 328,
  height = 88,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1744,
  y = 960,
  width = 56,
  height = 160,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1800,
  y = 960,
  width = 112,
  height = 232,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2520,
  y = 1168,
  width = 32,
  height = 88,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2496,
  y = 1168,
  width = 24,
  height = 120,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2384,
  y = 1200,
  width = 96,
  height = 160,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2432,
  y = 1504,
  width = 24,
  height = 128,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2456,
  y = 1448,
  width = 32,
  height = 184,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2488,
  y = 1384,
  width = 40,
  height = 256,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2408,
  y = 1360,
  width = 16,
  height = 16,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2384,
  y = 1360,
  width = 24,
  height = 40,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2304,
  y = 1304,
  width = 80,
  height = 136,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2552,
  y = 1168,
  width = 8,
  height = 192,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2528,
  y = 1360,
  width = 32,
  height = 320,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2184,
  y = 1648,
  width = 32,
  height = 32,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2168,
  y = 1632,
  width = 16,
  height = 48,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2112,
  y = 1584,
  width = 32,
  height = 96,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1952,
  y = 1656,
  width = 16,
  height = 24,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1968,
  y = 1608,
  width = 96,
  height = 72,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1944,
  y = 1584,
  width = 88,
  height = 24,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1896,
  y = 1480,
  width = 136,
  height = 104,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1888,
  y = 1664,
  width = 16,
  height = 128,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1976,
  y = 1320,
  width = 80,
  height = 32,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1872,
  y = 1304,
  width = 104,
  height = 120,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1760,
  y = 1304,
  width = 64,
  height = 104,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1600,
  y = 1640,
  width = 184,
  height = 40,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1680,
  y = 1208,
  width = 8,
  height = 224,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 2528,
  y = 1232,
  width = 32,
  height = 32,
  pattern = "forest.tree_small",
}

tile{
  layer = 0,
  x = 2432,
  y = 1328,
  width = 32,
  height = 32,
  pattern = "forest.tree_small",
}

tile{
  layer = 0,
  x = 320,
  y = 0,
  width = 16,
  height = 16,
  pattern = "forest.corner_reverse.4",
}

tile{
  layer = 0,
  x = 624,
  y = 0,
  width = 16,
  height = 16,
  pattern = "forest.corner_reverse.3",
}

tile{
  layer = 0,
  x = 320,
  y = 224,
  width = 16,
  height = 16,
  pattern = "forest.corner_reverse.2",
}

tile{
  layer = 0,
  x = 624,
  y = 224,
