properties{
  x = 0,
  y = 0,
  width = 1280,
  height = 1440,
  min_layer = 0,
  max_layer = 2,
  tileset = "town",
}

tile{
  layer = 0,
  x = 1136,
  y = 64,
  width = 144,
  height = 16,
  pattern = "sand.cliff.1",
}

tile{
  layer = 0,
  x = 1120,
  y = 64,
  width = 16,
  height = 16,
  pattern = "sand.cliff.diag.2",
}

tile{
  layer = 0,
  x = 1104,
  y = 48,
  width = 16,
  height = 16,
  pattern = "sand.cliff.diag.2",
}

tile{
  layer = 0,
  x = 1088,
  y = 32,
  width = 16,
  height = 16,
  pattern = "sand.cliff.diag.2",
}

tile{
  layer = 0,
  x = 1072,
  y = 16,
  width = 16,
  height = 16,
  pattern = "sand.cliff.diag.2",
}

tile{
  layer = 0,
  x = 1072,
  y = 0,
  width = 16,
  height = 16,
  pattern = "sand.cliff.corner_reverse.diag.1",
}

tile{
  layer = 0,
  x = 1088,
  y = 16,
  width = 16,
  height = 16,
  pattern = "cliff.diag.2",
}

tile{
  layer = 0,
  x = 1088,
  y = 0,
  width = 16,
  height = 16,
  pattern = "cliff.top.border.diag.2",
}

tile{
  layer = 0,
  x = 1104,
  y = 32,
  width = 16,
  height = 16,
  pattern = "cliff.diag.2",
}

tile{
  layer = 0,
  x = 1104,
  y = 16,
  width = 16,
  height = 16,
  pattern = "cliff.top.border.diag.2",
}

tile{
  layer = 0,
  x = 1120,
  y = 48,
  width = 16,
  height = 16,
  pattern = "cliff.diag.2",
}

tile{
  layer = 0,
  x = 1120,
  y = 32,
  width = 16,
  height = 16,
  pattern = "cliff.top.border.diag.2",
}

tile{
  layer = 0,
  x = 1104,
  y = 0,
  width = 16,
  height = 16,
  pattern = "dirt.cliff.top.border.diag.2",
}

tile{
  layer = 0,
  x = 1120,
  y = 16,
  width = 16,
  height = 16,
  pattern = "dirt.cliff.top.border.diag.2",
}

tile{
  layer = 0,
  x = 1112,
  y = 8,
  width = 16,
  height = 16,
  pattern = "dirt.cliff.top.border.diag.2",
}

tile{
  layer = 0,
  x = 1136,
  y = 24,
  width = 144,
  height = 8,
  pattern = "dirt.cliff.top.border.1",
}

tile{
  layer = 0,
  x = 1136,
  y = 48,
  width = 144,
  height = 16,
  pattern = "cliff.1",
}

tile{
  layer = 0,
  x = 1136,
  y = 40,
  width = 144,
  height = 8,
  pattern = "cliff.top.1",
}

tile{
  layer = 0,
  x = 1136,
  y = 32,
  width = 144,
  height = 8,
  pattern = "cliff.top.border.1",
}

